lat_long
"(47.3863938, -122.31619823745454)"
"(47.627523350000004, -122.30902096992753)"
"(47.51482825, -122.34804081226335)"
"(47.59003319999999, -122.39101036463299)"
"(47.4873376, -121.8622122)"
"(47.515113, -121.882876)"
"(47.682746449999996, -122.31165989625)"
"(47.49593965426335, -122.46398803397602)"
"(47.3763171, -122.03185766060537)"
"(47.3763171, -122.03185766060537)"
"(47.4943187, -122.23257325)"
"(47.730690249999995, -122.35405974769512)"
"(47.5480343, -122.3739351)"
"(47.5480343, -122.3739351)"
"(47.3393948, -122.3333241206453)"
"(47.6276645, -122.30572698600051)"
"(47.4179613, -122.21394670739409)"
"(47.3969328, -122.17030387835844)"
"(47.3969328, -122.17030387835844)"
"(47.68291585, -122.30966058842822)"
"(47.6903604, -122.3787433)"
"(47.587967798657715, -122.20464426845638)"
"(47.372848591836735, -122.42353914285715)"
"(47.63878145, -122.36329438025997)"
"(47.3641671, -122.3219218)"
"(47.60094288808995, -122.11137082760682)"
"(47.55381173469387, -122.38728797959183)"
"(47.3758947, -122.11404458766754)"
"(47.65478, -122.3482583509477)"
"(47.65478, -122.3482583509477)"
"(47.66887425, -122.19460915534935)"
"(47.66929585, -122.19398091263878)"
"(47.4873376, -121.8622122)"
"(47.66749085, -122.28768328919656)"
"(47.411464249999995, -122.21466067834953)"
"(47.308986, -122.34319941194312)"
"(45.659933, -122.426672)"
"(47.6013176, -122.3198471)"
"(47.5663354, -122.36898040921368)"
"(47.53680945, -122.36822866468954)"
"(47.59865, -122.035774)"
"(47.6954585, -122.3477432125)"
"(47.6513706, -122.00447667453832)"
"(47.5668186, -122.0030411)"
"(47.616286849999995, -122.29906777459504)"
"(47.66403365, -122.07118715873602)"
"(47.1946249, -121.9709981)"
"(47.64688125, -122.363607625)"
"(47.4219685, -122.15115078593814)"
"(47.7045497, -122.35173400692912)"
"(47.655121550000004, -122.39428409359775)"
"(47.51849733135004, -121.8770392861299)"
"(47.51849733135004, -121.8770392861299)"
"(47.2885317, -122.21214347476932)"
"(47.2885317, -122.21214347476932)"
"(47.2885317, -122.21214347476932)"
"(47.650685749999994, -122.39523220438434)"
"(47.711325450000004, -122.22262897711862)"
"(47.750754718592965, -122.33178701005025)"
"(47.734216, -122.33515)"
"(47.68996195, -122.38792147453489)"
"(47.2607901943137, -122.21567754785386)"
"(47.7609613085303, -122.30718625721764)"
"(47.39826775, -122.16201304776916)"
"(47.438331000000005, -122.1268434846939)"
"(47.7178391, -122.27863963469031)"
"(47.670501099999996, -122.3252760246217)"
"(47.51301675, -122.18598425)"
"(47.332300000000004, -122.30670579666642)"
"(47.593692649999994, -122.29304648878954)"
"(47.774046366704745, -122.12279595501302)"
"(47.3712556, -122.06533337500001)"
"(47.3712556, -122.06533337500001)"
"(47.71955713753888, -122.1191642775961)"
"(47.4340355, -122.1702525)"
"(47.512987550000005, -122.16801995)"
"(47.6112446, -122.3091258)"
"(47.77513851692926, -122.16221597256335)"
"(47.56286992139796, -122.22012148921398)"
"(47.56286992139796, -122.22012148921398)"
"(47.60546566666667, -122.15389666666667)"
"(47.472803400000004, -122.202238525)"
"(47.423331000000005, -122.2907215)"
"(47.77345212129756, -122.08399855762214)"
"(47.671096649999996, -122.39163289999999)"
"(47.601638, -122.287711)"
"(47.63247969118069, -122.04312323527724)"
"(47.578805183673474, -121.99327944897959)"
"(47.77267205, -122.1685257)"
"(47.6989649, -122.22859801673793)"
"(47.36281855, -122.16049890849284)"
"(47.53542445, -122.29475607023258)"
"(47.5893632, -122.3036416)"
"(47.448783500000005, -122.1342174239336)"
"(47.63200533333333, -122.17055751515151)"
"(47.3576264, -122.0993766)"
"(47.3576264, -122.0993766)"
"(47.3576264, -122.0993766)"
"(47.3576264, -122.0993766)"
"(47.3420446, -122.3106362)"
"(47.6070162, -122.0510533)"
"(47.443582, -122.137208)"
"(47.4746206, -122.11564167024375)"
"(47.579308653351866, -122.19383452081584)"
"(47.28493, -122.30216590825634)"
"(47.28493, -122.30216590825634)"
"(47.47867705, -122.1393527620519)"
